T,V,I
9.91e+37,0.0,-2.447065e-06
9.91e+37,0.0,-2.383172e-06
9.91e+37,0.0,-2.346623e-06
9.91e+37,0.0,-2.320511e-06
9.91e+37,0.0,-2.300229e-06
9.91e+37,0.0,-2.283844e-06
9.91e+37,0.0,-2.270179e-06
9.91e+37,0.0,-2.258513e-06
9.91e+37,0.0,-2.248402e-06
9.91e+37,50.0,7.781278e-05
9.91e+37,50.0,7.756434e-05
9.91e+37,50.0,7.750465e-05
9.91e+37,50.0,7.745792e-05
9.91e+37,50.0,7.741737e-05
9.91e+37,50.0,7.738027e-05
9.91e+37,50.0,7.734521e-05
9.91e+37,50.0,7.731266e-05
9.91e+37,50.0,7.728021e-05
9.91e+37,100.0,0.0001583965
9.91e+37,100.0,0.000158578
9.91e+37,100.0,0.0001586045
9.91e+37,100.0,0.0001585848
9.91e+37,100.0,0.0001585564
9.91e+37,100.0,0.0001585334
9.91e+37,100.0,0.0001584985
9.91e+37,100.0,0.000158467
9.91e+37,100.0,0.0001584279
9.91e+37,150.0,0.0002395702
9.91e+37,150.0,0.0002402334
9.91e+37,150.0,0.0002403567
9.91e+37,150.0,0.0002404075
9.91e+37,150.0,0.0002404109
9.91e+37,150.0,0.0002404606
9.91e+37,150.0,0.0002404098
9.91e+37,150.0,0.0002403713
9.91e+37,150.0,0.0002403519
9.91e+37,200.0,0.0003219899
9.91e+37,200.0,0.0003232641
9.91e+37,200.0,0.0003237129
9.91e+37,200.0,0.0003239561
9.91e+37,200.0,0.0003241141
9.91e+37,200.0,0.0003241788
9.91e+37,200.0,0.0003242449
9.91e+37,200.0,0.0003242696
9.91e+37,200.0,0.0003242658
9.91e+37,250.0,0.0004066007
9.91e+37,250.0,0.0004086304
9.91e+37,250.0,0.0004092668
9.91e+37,250.0,0.0004094583
9.91e+37,250.0,0.000409978
9.91e+37,250.0,0.000410018
9.91e+37,250.0,0.0004102276
9.91e+37,250.0,0.0004105197
9.91e+37,250.0,0.0004104959
9.91e+37,300.0,0.0004938543
9.91e+37,300.0,0.0004971114
9.91e+37,300.0,0.0004980437
9.91e+37,300.0,0.0004985604
9.91e+37,300.0,0.0004989555
9.91e+37,300.0,0.0004994668
9.91e+37,300.0,0.000499616
9.91e+37,300.0,0.0004996053
9.91e+37,300.0,0.0004999134
9.91e+37,350.0,0.0005847669
9.91e+37,350.0,0.0005891187
9.91e+37,350.0,0.0005913024
9.91e+37,350.0,0.0005920971
9.91e+37,350.0,0.0005927486
9.91e+37,350.0,0.0005933124
9.91e+37,350.0,0.0005936611
9.91e+37,350.0,0.0005940674
9.91e+37,350.0,0.0005943852
9.91e+37,400.0,0.0006805692
9.91e+37,400.0,0.0006863594
9.91e+37,400.0,0.0006882375
9.91e+37,400.0,0.0006893456
9.91e+37,400.0,0.0006900297
9.91e+37,400.0,0.0006909078
9.91e+37,400.0,0.0006910034
9.91e+37,400.0,0.0006910838
9.91e+37,400.0,0.0006911763
9.91e+37,450.0,0.0007782275
9.91e+37,450.0,0.0007851711
9.91e+37,450.0,0.0007878056
9.91e+37,450.0,0.0007890281
9.91e+37,450.0,0.0007898732
9.91e+37,450.0,0.0007909833
9.91e+37,450.0,0.0007915439
9.91e+37,450.0,0.0007918184
9.91e+37,450.0,0.0007924189
9.91e+37,500.0,0.0008820141
9.91e+37,500.0,0.0008904704
9.91e+37,500.0,0.0008932677
9.91e+37,500.0,0.0008954887
9.91e+37,500.0,0.0008965795
9.91e+37,500.0,0.0008985269
9.91e+37,500.0,0.0008994695
9.91e+37,500.0,0.0009006872
9.91e+37,500.0,0.0009014581
9.91e+37,550.0,0.0009941944
9.91e+37,550.0,0.001005512
9.91e+37,550.0,0.001010932
9.91e+37,550.0,0.00101455
9.91e+37,550.0,0.001016027
9.91e+37,550.0,0.001017844
9.91e+37,550.0,0.001018961
9.91e+37,550.0,0.001020145
9.91e+37,550.0,0.001021539
9.91e+37,600.0,0.001116925
9.91e+37,600.0,0.001128227
9.91e+37,600.0,0.001133025
9.91e+37,600.0,0.00113617
9.91e+37,600.0,0.001137243
9.91e+37,600.0,0.001140978
9.91e+37,600.0,0.001142798
9.91e+37,600.0,0.001144734
9.91e+37,600.0,0.001145776
9.91e+37,650.0,0.001243694
9.91e+37,650.0,0.00125739
9.91e+37,650.0,0.001263994
9.91e+37,650.0,0.001268035
9.91e+37,650.0,0.001271371
9.91e+37,650.0,0.001273375
9.91e+37,650.0,0.001277659
9.91e+37,650.0,0.001278926
9.91e+37,650.0,0.001282724
9.91e+37,700.0,0.001383661
9.91e+37,700.0,0.001399196
9.91e+37,700.0,0.001407217
9.91e+37,700.0,0.001409185
9.91e+37,700.0,0.00141298
9.91e+37,700.0,0.001414348
9.91e+37,700.0,0.001416549
9.91e+37,700.0,0.001420323
9.91e+37,700.0,0.001420828
9.91e+37,750.0,0.001524236
9.91e+37,750.0,0.001540967
9.91e+37,750.0,0.001549132
9.91e+37,750.0,0.001552876
9.91e+37,750.0,0.001557342
9.91e+37,750.0,0.001558256
9.91e+37,750.0,0.001563557
9.91e+37,750.0,0.001565537
9.91e+37,750.0,0.001568197
9.91e+37,800.0,0.001677209
9.91e+37,800.0,0.00169786
9.91e+37,800.0,0.001704689
9.91e+37,800.0,0.001713521
9.91e+37,800.0,0.001718504
9.91e+37,800.0,0.00172163
9.91e+37,800.0,0.001724201
9.91e+37,800.0,0.001729667
9.91e+37,800.0,0.001732375
9.91e+37,850.0,0.001848469
9.91e+37,850.0,0.00187136
9.91e+37,850.0,0.001881369
9.91e+37,850.0,0.001887028
9.91e+37,850.0,0.001890565
9.91e+37,850.0,0.001895462
9.91e+37,850.0,0.001899568
9.91e+37,850.0,0.001901399
9.91e+37,850.0,0.001905638
9.91e+37,900.0,0.002019532
9.91e+37,900.0,0.002043615
9.91e+37,900.0,0.002055232
9.91e+37,900.0,0.002062793
9.91e+37,900.0,0.002066673
9.91e+37,900.0,0.00207944
9.91e+37,900.0,0.002085613
9.91e+37,900.0,0.002090492
9.91e+37,900.0,0.002094911
9.91e+37,950.0,0.002215133
9.91e+37,950.0,0.00224129
9.91e+37,950.0,0.002259944
9.91e+37,950.0,0.002267917
9.91e+37,950.0,0.002283808
9.91e+37,950.0,0.002291045
9.91e+37,950.0,0.002296974
9.91e+37,950.0,0.002299901
9.91e+37,950.0,0.002311703
9.91e+37,1000.0,0.002446021
9.91e+37,1000.0,0.002476979
9.91e+37,1000.0,0.002490686
9.91e+37,1000.0,0.002501093
9.91e+37,1000.0,0.00250983
9.91e+37,1000.0,0.002500556
9.91e+37,1000.0,0.000130243
9.91e+37,1000.0,0.0001133571
9.91e+37,1000.0,9.791934e-05
9.91e+37,1050.0,8.395121e-05
9.91e+37,1050.0,8.534054e-05
9.91e+37,1050.0,7.818962e-05
9.91e+37,1050.0,8.672762e-05
9.91e+37,1050.0,9.786195e-05
9.91e+37,1050.0,8.924698e-05
9.91e+37,1050.0,0.0001177265
9.91e+37,1050.0,6.200113e-05
9.91e+37,1050.0,5.281906e-05
9.91e+37,1100.0,5.136518e-05
9.91e+37,1100.0,4.413144e-05
9.91e+37,1100.0,6.565463e-05
9.91e+37,1100.0,5.037436e-05
9.91e+37,1100.0,5.476561e-05
9.91e+37,1100.0,6.79408e-05
9.91e+37,1100.0,6.015148e-05
9.91e+37,1100.0,6.035835e-05
9.91e+37,1100.0,7.76203e-05
